truth,trial,seed,alpha,beta,decision,error,stopping_time
Q,105,260717692,0.05,0.01,Q,False,102
Q,105,260717692,0.01,0.05,Q,False,103
Q,106,260717693,0.05,0.05,Q,False,50
Q,106,260717693,0.05,0.01,Q,False,50
Q,106,260717693,0.01,0.05,Q,False,51
Q,107,260717694,0.05,0.05,Q,False,114
Q,107,260717694,0.05,0.01,Q,False,114
Q,107,260717694,0.01,0.05,Q,False,115
Q,108,260717695,0.05,0.05,Q,False,94
Q,108,260717695,0.05,0.01,Q,False,94
Q,108,260717695,0.01,0.05,Q,False,97
Q,109,260717696,0.05,0.05,Q,False,101
Q,109,260717696,0.05,0.01,Q,False,101
Q,109,260717696,0.01,0.05,Q,False,102
Q,110,260717697,0.05,0.05,Q,False,62
Q,110,260717697,0.05,0.01,Q,False,62
Q,110,260717697,0.01,0.05,Q,False,63
Q,111,260717698,0.05,0.05,Q,False,54
Q,111,260717698,0.05,0.01,Q,False,54
Q,111,260717698,0.01,0.05,Q,False,56
Q,112,260717699,0.05,0.05,Q,False,78
Q,112,260717699,0.05,0.01,Q,False,78
Q,112,260717699,0.01,0.05,Q,False,99
Q,113,260717700,0.05,0.05,Q,False,39
Q,113,260717700,0.05,0.01,Q,False,39
Q,113,260717700,0.01,0.05,Q,False,59
Q,114,260717701,0.05,0.05,Q,False,96
Q,114,260717701,0.05,0.01,Q,False,96
Q,114,260717701,0.01,0.05,Q,False,101
Q,115,260717702,0.05,0.05,Q,False,79
Q,115,260717702,0.05,0.01,Q,False,79
Q,115,260717702,0.01,0.05,Q,False,80
Q,116,260717703,0.05,0.05,Q,False,106
Q,116,260717703,0.05,0.01,Q,False,106
Q,116,260717703,0.01,0.05,Q,False,107
Q,117,260717704,0.05,0.05,Q,False,84
Q,117,260717704,0.05,0.01,Q,False,84
Q,117,260717704,0.01,0.05,Q,False,85
Q,118,260717705,0.05,0.05,Q,False,72
Q,118,260717705,0.05,0.01,Q,False,72
Q,118,260717705,0.01,0.05,Q,False,88
Q,119,260717706,0.05,0.05,Q,False,87
Q,119,260717706,0.05,0.01,Q,False,87
Q,119,260717706,0.01,0.05,Q,False,88
Q,120,260717707,0.05,0.05,Q,False,66
Q,120,260717707,0.05,0.01,Q,False,66
Q,120,260717707,0.01,0.05,Q,False,67
Q,121,260717708,0.05,0.05,Q,False,133
Q,121,260717708,0.05,0.01,Q,False,133
Q,121,260717708,0.01,0.05,Q,False,140
Q,122,260717709,0.05,0.05,Q,False,56
Q,122,260717709,0.05,0.01,Q,False,56
Q,122,260717709,0.01,0.05,Q,False,56
Q,123,260717710,0.05,0.05,Q,False,113
Q,123,260717710,0.05,0.01,Q,False,113
Q,123,260717710,0.01,0.05,Q,False,116
Q,124,260717711,0.05,0.05,Q,False,143
Q,124,260717711,0.05,0.01,Q,False,143
Q,124,260717711,0.01,0.05,Q,False,150
Q,125,260717712,0.05,0.05,Q,False,57
Q,125,260717712,0.05,0.01,Q,False,57
Q,125,260717712,0.01,0.05,Q,False,66
Q,126,260717713,0.05,0.05,Q,False,194
Q,126,260717713,0.05,0.01,Q,False,194
Q,126,260717713,0.01,0.05,Q,False,198
Q,127,260717714,0.05,0.05,Q,False,140
Q,127,260717714,0.05,0.01,Q,False,140
Q,127,260717714,0.01,0.05,Q,False,141
Q,128,260717715,0.05,0.05,Q,False,58
Q,128,260717715,0.05,0.01,Q,False,58
Q,128,260717715,0.01,0.05,Q,False,59
Q,129,260717716,0.05,0.05,Q,False,74
Q,129,260717716,0.05,0.01,Q,False,74
Q,129,260717716,0.01,0.05,Q,False,77
Q,130,260717717,0.05,0.05,Q,False,106
Q,130,260717717,0.05,0.01,Q,False,106
Q,130,260717717,0.01,0.05,Q,False,109
Q,131,260717718,0.05,0.05,Q,False,81
Q,131,260717718,0.05,0.01,Q,False,81
Q,131,260717718,0.01,0.05,Q,False,83
Q,132,260717719,0.05,0.05,Q,False,77
Q,132,260717719,0.05,0.01,Q,False,77
Q,132,260717719,0.01,0.05,Q,False,101
Q,133,260717720,0.05,0.05,Q,False,67
Q,133,260717720,0.05,0.01,Q,False,67
Q,133,260717720,0.01,0.05,Q,False,90
Q,134,260717721,0.05,0.05,Q,False,47
Q,134,260717721,0.05,0.01,Q,False,47
Q,134,260717721,0.01,0.05,Q,False,48
Q,135,260717722,0.05,0.05,Q,False,56
Q,135,260717722,0.05,0.01,Q,False,56
Q,135,260717722,0.01,0.05,Q,False,60
