theta,trial,seed,initial_state,log_inverse_alpha,stopping_time
-0.8,120,260417707,0,2560.0,3696
-0.8,120,260417707,0,5120.0,7183
-0.8,121,260417708,1,320.0,564
-0.8,121,260417708,1,640.0,996
-0.8,121,260417708,1,1280.0,1847
-0.8,121,260417708,1,2560.0,3627
-0.8,121,260417708,1,5120.0,7067
-0.8,122,260417709,2,320.0,544
-0.8,122,260417709,2,640.0,1064
-0.8,122,260417709,2,1280.0,1983
-0.8,122,260417709,2,2560.0,3767
-0.8,122,260417709,2,5120.0,7607
-0.8,123,260417710,3,320.0,559
-0.8,123,260417710,3,640.0,981
-0.8,123,260417710,3,1280.0,1886
-0.8,123,260417710,3,2560.0,3683
-0.8,123,260417710,3,5120.0,7284
-0.8,124,260417711,4,320.0,558
-0.8,124,260417711,4,640.0,1055
-0.8,124,260417711,4,1280.0,1916
-0.8,124,260417711,4,2560.0,3648
-0.8,124,260417711,4,5120.0,7079
-0.8,125,260417712,0,320.0,566
-0.8,125,260417712,0,640.0,1057
-0.8,125,260417712,0,1280.0,1931
-0.8,125,260417712,0,2560.0,3724
-0.8,125,260417712,0,5120.0,7247
-0.8,126,260417713,1,320.0,582
-0.8,126,260417713,1,640.0,1042
-0.8,126,260417713,1,1280.0,1971
-0.8,126,260417713,1,2560.0,3692
-0.8,126,260417713,1,5120.0,7227
-0.8,127,260417714,2,320.0,567
-0.8,127,260417714,2,640.0,1019
-0.8,127,260417714,2,1280.0,1922
-0.8,127,260417714,2,2560.0,3711
-0.8,127,260417714,2,5120.0,7395
-0.6,0,260427587,0,320.0,797
-0.6,0,260427587,0,640.0,1433
-0.6,0,260427587,0,1280.0,2627
-0.6,0,260427587,0,2560.0,4923
-0.6,0,260427587,0,5120.0,9950
-0.6,1,260427588,1,320.0,743
-0.6,1,260427588,1,640.0,1417
-0.6,1,260427588,1,1280.0,2590
-0.6,1,260427588,1,2560.0,5098
-0.6,1,260427588,1,5120.0,10027
-0.6,2,260427589,2,320.0,762
-0.6,2,260427589,2,640.0,1442
-0.6,2,260427589,2,1280.0,2709
-0.6,2,260427589,2,2560.0,5105
-0.6,2,260427589,2,5120.0,9958
-0.6,3,260427590,3,320.0,724
-0.6,3,260427590,3,640.0,1311
