states,total,counts,log_mixture,empirical_kl,row_penalty,conditional_expectation,dominance_slack
6,9,2|2|0|1|0|4,1.6216940918700047,6.003820311052175,10.148097085905793,1.0,5.765970866723622
6,9,2|2|0|1|1|3,0.4177212875440688,3.936801289370897,10.148097085905793,1.0,6.629017084078964
6,9,2|2|0|1|2|2,0.19457773622985997,3.5958747024003035,10.148097085905793,1.0,6.746800119735349
6,9,2|2|0|1|3|1,0.782364401131975,4.301444402958806,10.148097085905793,1.0,6.629017084078962
6,9,2|2|0|1|4|0,2.3509803190458207,6.733106538227994,10.148097085905793,1.0,5.765970866723619
6,9,2|2|0|2|0|3,1.3340120194182248,5.5462392018049975,10.148097085905793,1.0,5.93586990351902
6,9,2|2|0|2|1|2,0.4177212875440688,3.819018253714513,10.148097085905793,1.0000000000000002,6.746800119735348
6,9,2|2|0|2|2|1,0.6000428443380237,4.001339810508468,10.148097085905793,1.0000000000000002,6.746800119735348
6,9,2|2|0|2|3|0,1.8809766898000895,6.09320387218686,10.148097085905793,1.0,5.935869903519022
6,9,2|2|0|3|0|2,1.7394771275263885,5.951704309913161,10.148097085905793,1.0,5.93586990351902
6,9,2|2|0|3|1|1,1.2286515037603962,4.747731505587225,10.148097085905793,1.0,6.6290170840789635
6,9,2|2|0|3|2|0,2.1041202411142983,6.316347423501071,10.148097085905793,1.0,5.93586990351902
6,9,2|2|0|4|0|1,2.838089416194496,7.220215635376669,10.148097085905793,1.0,5.765970866723619
6,9,2|2|0|4|1|0,3.0204109729884507,7.402537192170623,10.148097085905793,1.0,5.76597086672362
6,9,2|2|0|5|0|0,4.852992436736766,10.127692861175772,10.148097085905793,1.0000000000000002,4.873396661466787
6,9,2|2|1|0|0|4,1.9093761643217846,6.291502383503956,10.148097085905793,1.0,5.765970866723621
6,9,2|2|1|0|1|3,0.7054033599958487,4.224483361822678,10.148097085905793,1.0,6.6290170840789635
6,9,2|2|1|0|2|2,0.48225980868163987,3.8835567748520843,10.148097085905793,1.0,6.746800119735348
6,9,2|2|1|0|3|1,1.0700464735837585,4.589126475410587,10.148097085905793,1.0,6.629017084078964
6,9,2|2|1|0|4|0,2.638662391497604,7.020788610679775,10.148097085905793,1.0,5.765970866723622
