theta,trial,seed,initial_state,alpha,horizon,stopped,stopping_time
0.6400000000000001,54,260517641,2,0.009999999999999995,10000,False,
0.66,55,260517642,2,0.05000000000000001,10000,False,
0.66,55,260517642,2,0.009999999999999995,10000,False,
0.68,56,260517643,2,0.05000000000000001,10000,False,
0.68,56,260517643,2,0.009999999999999995,10000,False,
0.7,57,260517644,2,0.05000000000000001,10000,False,
0.7,57,260517644,2,0.009999999999999995,10000,False,
0.72,58,260517645,2,0.05000000000000001,10000,False,
0.72,58,260517645,2,0.009999999999999995,10000,False,
0.74,59,260517646,2,0.05000000000000001,10000,False,
0.74,59,260517646,2,0.009999999999999995,10000,False,
0.76,60,260517647,2,0.05000000000000001,10000,False,
0.76,60,260517647,2,0.009999999999999995,10000,False,
0.78,61,260517648,2,0.05000000000000001,10000,False,
0.78,61,260517648,2,0.009999999999999995,10000,False,
0.8,62,260517649,2,0.05000000000000001,10000,False,
0.8,62,260517649,2,0.009999999999999995,10000,False,
0.4,63,260517650,3,0.05000000000000001,10000,False,
0.4,63,260517650,3,0.009999999999999995,10000,False,
0.42000000000000004,64,260517651,3,0.05000000000000001,10000,False,
0.42000000000000004,64,260517651,3,0.009999999999999995,10000,False,
0.44,65,260517652,3,0.05000000000000001,10000,False,
0.44,65,260517652,3,0.009999999999999995,10000,False,
0.46,66,260517653,3,0.05000000000000001,10000,False,
0.46,66,260517653,3,0.009999999999999995,10000,False,
0.48000000000000004,67,260517654,3,0.05000000000000001,10000,False,
0.48000000000000004,67,260517654,3,0.009999999999999995,10000,False,
0.5,68,260517655,3,0.05000000000000001,10000,False,
0.5,68,260517655,3,0.009999999999999995,10000,False,
0.52,69,260517656,3,0.05000000000000001,10000,False,
0.52,69,260517656,3,0.009999999999999995,10000,False,
0.54,70,260517657,3,0.05000000000000001,10000,False,
0.54,70,260517657,3,0.009999999999999995,10000,False,
0.56,71,260517658,3,0.05000000000000001,10000,False,
0.56,71,260517658,3,0.009999999999999995,10000,False,
0.5800000000000001,72,260517659,3,0.05000000000000001,10000,False,
0.5800000000000001,72,260517659,3,0.009999999999999995,10000,False,
0.6000000000000001,73,260517660,3,0.05000000000000001,10000,False,
0.6000000000000001,73,260517660,3,0.009999999999999995,10000,False,
0.6200000000000001,74,260517661,3,0.05000000000000001,10000,False,
0.6200000000000001,74,260517661,3,0.009999999999999995,10000,False,
0.6400000000000001,75,260517662,3,0.05000000000000001,10000,False,
0.6400000000000001,75,260517662,3,0.009999999999999995,10000,False,
0.66,76,260517663,3,0.05000000000000001,10000,False,
0.66,76,260517663,3,0.009999999999999995,10000,False,
0.68,77,260517664,3,0.05000000000000001,10000,False,
0.68,77,260517664,3,0.009999999999999995,10000,False,
0.7,78,260517665,3,0.05000000000000001,10000,False,
0.7,78,260517665,3,0.009999999999999995,10000,False,
0.72,79,260517666,3,0.05000000000000001,10000,False,
0.72,79,260517666,3,0.009999999999999995,10000,False,
0.74,80,260517667,3,0.05000000000000001,10000,False,
0.74,80,260517667,3,0.009999999999999995,10000,False,
0.76,81,260517668,3,0.05000000000000001,10000,False,
0.76,81,260517668,3,0.009999999999999995,10000,False,
0.78,82,260517669,3,0.05000000000000001,10000,False,
0.78,82,260517669,3,0.009999999999999995,10000,False,
0.8,83,260517670,3,0.05000000000000001,10000,False,
0.8,83,260517670,3,0.009999999999999995,10000,False,
0.4,84,260517671,4,0.05000000000000001,10000,False,
0.4,84,260517671,4,0.009999999999999995,10000,False,
0.42000000000000004,85,260517672,4,0.05000000000000001,10000,False,
0.42000000000000004,85,260517672,4,0.009999999999999995,10000,False,
0.44,86,260517673,4,0.05000000000000001,10000,False,
0.44,86,260517673,4,0.009999999999999995,10000,False,
0.46,87,260517674,4,0.05000000000000001,10000,False,
0.46,87,260517674,4,0.009999999999999995,10000,False,
0.48000000000000004,88,260517675,4,0.05000000000000001,10000,False,
0.48000000000000004,88,260517675,4,0.009999999999999995,10000,False,
0.5,89,260517676,4,0.05000000000000001,10000,False,
0.5,89,260517676,4,0.009999999999999995,10000,False,
0.52,90,260517677,4,0.05000000000000001,10000,False,
0.52,90,260517677,4,0.009999999999999995,10000,False,
0.54,91,260517678,4,0.05000000000000001,10000,False,
0.54,91,260517678,4,0.009999999999999995,10000,False,
0.56,92,260517679,4,0.05000000000000001,10000,False,
0.56,92,260517679,4,0.009999999999999995,10000,False,
0.5800000000000001,93,260517680,4,0.05000000000000001,10000,False,
0.5800000000000001,93,260517680,4,0.009999999999999995,10000,False,
0.6000000000000001,94,260517681,4,0.05000000000000001,10000,False,
0.6000000000000001,94,260517681,4,0.009999999999999995,10000,False,
0.6200000000000001,95,260517682,4,0.05000000000000001,10000,False,
0.6200000000000001,95,260517682,4,0.009999999999999995,10000,False,
0.6400000000000001,96,260517683,4,0.05000000000000001,10000,False,
0.6400000000000001,96,260517683,4,0.009999999999999995,10000,False,
0.66,97,260517684,4,0.05000000000000001,10000,False,
0.66,97,260517684,4,0.009999999999999995,10000,False,
0.68,98,260517685,4,0.05000000000000001,10000,False,
0.68,98,260517685,4,0.009999999999999995,10000,False,
0.7,99,260517686,4,0.05000000000000001,10000,False,
0.7,99,260517686,4,0.009999999999999995,10000,False,
0.72,100,260517687,4,0.05000000000000001,10000,False,
0.72,100,260517687,4,0.009999999999999995,10000,False,
0.74,101,260517688,4,0.05000000000000001,10000,False,
0.74,101,260517688,4,0.009999999999999995,10000,False,
0.76,102,260517689,4,0.05000000000000001,10000,False,
0.76,102,260517689,4,0.009999999999999995,10000,False,
0.78,103,260517690,4,0.05000000000000001,10000,False,
0.78,103,260517690,4,0.009999999999999995,10000,False,
0.8,104,260517691,4,0.05000000000000001,10000,False,
0.8,104,260517691,4,0.009999999999999995,10000,False,
0.4,105,260517692,0,0.05000000000000001,10000,False,
0.4,105,260517692,0,0.009999999999999995,10000,False,
0.42000000000000004,106,260517693,0,0.05000000000000001,10000,False,
0.42000000000000004,106,260517693,0,0.009999999999999995,10000,False,
0.44,107,260517694,0,0.05000000000000001,10000,False,
0.44,107,260517694,0,0.009999999999999995,10000,False,
0.46,108,260517695,0,0.05000000000000001,10000,False,
0.46,108,260517695,0,0.009999999999999995,10000,False,
0.48000000000000004,109,260517696,0,0.05000000000000001,10000,False,
0.48000000000000004,109,260517696,0,0.009999999999999995,10000,False,
0.5,110,260517697,0,0.05000000000000001,10000,False,
0.5,110,260517697,0,0.009999999999999995,10000,False,
0.52,111,260517698,0,0.05000000000000001,10000,False,
0.52,111,260517698,0,0.009999999999999995,10000,False,
0.54,112,260517699,0,0.05000000000000001,10000,False,
0.54,112,260517699,0,0.009999999999999995,10000,False,
